T,b_below,se_below,b_above,se_above,subst,subst_se,subst_t,within_R2,y_mean,subst_pct
28,0.12365097079510447,0.010564409970797332,-0.203098601420757,0.013372183564796391,-0.3267495722158615,0.006858162005492191,-47.64389816895432,0.14249242439434384,33.70284761235955,-0.9695013785601769
29,0.10692571975041369,0.010446615443029333,-0.2876183102225053,0.013876159546963486,-0.394544029972919,0.007630570711173622,-51.705703925288184,0.16195401955669042,33.70284761235955,-1.1706548791094773
30,0.09090355313639431,0.010351329629055524,-0.3584066904910378,0.014545252177508461,-0.4493102436274321,0.00864737174458686,-51.959168276614726,0.17523195225162935,33.70284761235955,-1.3331521680163918
31,0.0780458989040252,0.010284674333272794,-0.41804155369441004,0.015337356591667852,-0.49608745259843523,0.009841210470521526,-50.40919042270473,0.18163977350996363,33.70284761235955,-1.4719452145536494
