방법,적합도,전환_카운티,전환_면적_pct,회복률_pct,대두_카운티
정확해,305687468621.912,238,11.196178503187689,15.988197370238685,1483
GA,305687468621.912,238,11.196178503187689,15.988197370238685,1483
SA,305687468621.912,238,11.196178503187689,15.988197370238685,1483
TS,305687468621.912,238,11.196178503187689,15.988197370238685,1483
