lambda,정확해 F,GA F,갭(%),유전자 일치(%),GA 초,평가 횟수
0.0,311140709823.209,311138920593.4202,0.0005750548649753899,99.53314659197012,3.3655457090062555,160200
10.0,305576183058.5921,305576107186.3844,2.482922816274878e-05,99.90662931839402,3.395701708010165,160200
25.0,298976725943.86316,298976613882.10876,3.748176519117155e-05,99.90662931839402,3.472967334004352,160200
50.0,291874369760.2991,291874369760.2991,0.0,100.0,3.4146768750215415,160200
100.0,285925232193.9045,285925232193.9045,0.0,100.0,3.3751447920221835,160200
