method,seed,fitness,gap_pct,agree_pct,n_switch,recovery_pct,seconds,n_eval
GA,0,305687468621.912,0.0,100.0,238,15.988197370238685,16.189574700023513,160200
GA,1,305687468621.912,0.0,100.0,238,15.988197370238685,20.31004179996671,160200
GA,2,305687468621.912,0.0,100.0,238,15.988197370238685,14.058872999972664,160200
GA,3,305687468621.912,0.0,100.0,238,15.988197370238685,15.44674159999704,160200
GA,4,305687468621.912,0.0,100.0,238,15.988197370238685,16.27805639995495,160200
GA,5,305687468621.912,0.0,100.0,238,15.988197370238685,13.043399500020314,160200
GA,6,305687468621.912,0.0,100.0,238,15.988197370238685,17.244713000021875,160200
GA,7,305687468621.912,0.0,100.0,238,15.988197370238685,21.558432699996047,160200
GA,8,305687468621.912,0.0,100.0,238,15.988197370238685,14.915035900019575,160200
GA,9,305687468621.912,0.0,100.0,238,15.988197370238685,15.237543200026266,160200
SA,0,305687468621.912,0.0,100.0,238,15.988197370238685,7.4576126000029035,160200
SA,1,305687468621.912,0.0,100.0,238,15.988197370238685,5.222984699998051,160200
SA,2,305687468621.912,0.0,100.0,238,15.988197370238685,4.402189700049348,160200
SA,3,305687468621.912,0.0,100.0,238,15.988197370238685,4.163592800032347,160200
SA,4,305687468621.912,0.0,100.0,238,15.988197370238685,5.6048864999902435,160200
SA,5,305687468621.912,0.0,100.0,238,15.988197370238685,4.946996100014076,160200
SA,6,305687468621.912,0.0,100.0,238,15.988197370238685,4.405942699988373,160200
SA,7,305687468621.912,0.0,100.0,238,15.988197370238685,4.377403300022706,160200
SA,8,305687468621.912,0.0,100.0,238,15.988197370238685,4.874697299965192,160200
SA,9,305687468621.912,0.0,100.0,238,15.988197370238685,5.1422584999818355,160200
TS (정석),0,305687468621.912,0.0,100.0,238,15.988197370238685,0.18241589999524876,2142000
TS (정석),1,305687468621.912,0.0,100.0,238,15.988197370238685,0.11793609999585897,2142000
TS (정석),2,305687468621.912,0.0,100.0,238,15.988197370238685,0.11666419997345656,2142000
TS (정석),3,305687468621.912,0.0,100.0,238,15.988197370238685,0.10027239995542914,2142000
TS (정석),4,305687468621.912,0.0,100.0,238,15.988197370238685,0.16268360003596172,2142000
TS (정석),5,305687468621.912,0.0,100.0,238,15.988197370238685,0.16977149999001995,2142000
TS (정석),6,305687468621.912,0.0,100.0,238,15.988197370238685,0.12612049997551367,2142000
TS (정석),7,305687468621.912,0.0,100.0,238,15.988197370238685,0.1116279999841936,2142000
TS (정석),8,305687468621.912,0.0,100.0,238,15.988197370238685,0.14947750000283122,2142000
TS (정석),9,305687468621.912,0.0,100.0,238,15.988197370238685,0.11008610000135377,2142000
TS (예산 맞춤),0,305687420167.77765,1.5850873624888156e-05,99.90662931839402,240,16.091352922489275,0.02776260004611686,160000
TS (예산 맞춤),1,305687420167.77765,1.5850873624888156e-05,99.90662931839402,240,16.091352922489275,0.03174209996359423,160000
TS (예산 맞춤),2,305687468621.912,0.0,100.0,238,15.988197370238685,0.021694499999284744,160000
TS (예산 맞춤),3,305687414138.6203,1.7823200909291806e-05,99.95331465919702,239,15.998913030282752,0.01934389997040853,160000
TS (예산 맞춤),4,305686575037.3834,0.00029231964679248223,99.81325863678805,236,15.999356715558108,0.050781099998857826,160000
TS (예산 맞춤),5,305687420167.77765,1.5850873624888156e-05,99.90662931839402,240,16.091352922489275,0.03561900003114715,160000
TS (예산 맞춤),6,305687434161.1435,1.127320287253089e-05,99.95331465919702,239,16.030525839344843,0.03838280000491068,160000
TS (예산 맞춤),7,305686967133.623,0.0001640526159813663,99.90662931839402,236,15.97268563577931,0.024290100031066686,160000
TS (예산 맞춤),8,305687185996.9606,9.245552416333392e-05,99.85994397759103,241,16.02711368153845,0.021850100019946694,160000
TS (예산 맞춤),9,305687291014.6742,5.810092202786414e-05,99.76657329598507,243,16.13852560976857,0.023587800038512796,160000
