model,strategy,feature,coef,selected
ElasticNet,B,gddm28,-0.14983973966636888,1
ElasticNet,B,gddm27,-0.06670690947492297,1
ElasticNet,B,gddm26,-0.4720856106243261,1
ElasticNet,B,gddm25,-0.0,0
ElasticNet,B,gddm24,-1.3888470362061922,1
ElasticNet,B,gddm23,-0.07551997269790253,1
ElasticNet,B,gddm22,-0.0,0
ElasticNet,B,gddm21,-0.0,0
ElasticNet,B,gddm20,-0.0,0
ElasticNet,B,gddm19,-0.0,0
ElasticNet,B,gddm18,-0.0,0
ElasticNet,B,gddm17,-0.680213954594962,1
ElasticNet,B,gddm16,-0.24393711798056342,1
ElasticNet,B,gddm15,-0.36794555784569427,1
ElasticNet,B,gddm14,-0.7261698671671404,1
ElasticNet,B,gddm13,-0.0,0
ElasticNet,B,gddm12,-0.0,0
ElasticNet,B,gddm11,-0.0,0
ElasticNet,B,gddm10,-0.0,0
ElasticNet,B,gddm9,-0.0,0
ElasticNet,B,gddm8,-0.266015061848665,1
ElasticNet,B,gddm7,-1.5426700877665176,1
ElasticNet,B,gddm6,-0.044362604301272854,1
ElasticNet,B,gddm5,-0.0,0
ElasticNet,B,gddm4,-0.0,0
ElasticNet,B,gddm3,-0.0,0
ElasticNet,B,gddm2,-0.0,0
ElasticNet,B,gddm1,-0.0,0
ElasticNet,B,gdd0,0.0,0
ElasticNet,B,gddp1,0.0,0
ElasticNet,B,gddp2,0.0,0
ElasticNet,B,gddp3,0.0,0
ElasticNet,B,gddp4,0.0,0
ElasticNet,B,gddp5,0.0,0
ElasticNet,B,gddp6,0.0,0
ElasticNet,B,gddp7,0.7881947445706317,1
ElasticNet,B,gddp8,1.0213036848423642,1
ElasticNet,B,gddp9,0.0,0
ElasticNet,B,gddp10,-0.0,0
ElasticNet,B,gddp11,-0.0,0
ElasticNet,B,gddp12,-0.0,0
ElasticNet,B,gddp13,-0.34526103704422,1
ElasticNet,B,gddp14,-0.0,0
ElasticNet,B,gddp15,-0.0,0
ElasticNet,B,gddp16,-0.0,0
ElasticNet,B,gddp17,0.0,0
ElasticNet,B,gddp18,2.7351185932675617,1
ElasticNet,B,gddp19,1.5348597466368727,1
ElasticNet,B,gddp20,1.09433583663019,1
ElasticNet,B,gddp21,0.0,0
ElasticNet,B,gddp22,0.0,0
ElasticNet,B,gddp23,2.2969419934660755,1
ElasticNet,B,gddp25,2.5184352767842615,1
ElasticNet,B,gddp26,1.3756816278757689,1
ElasticNet,B,gddp27,2.6425765444739224,1
ElasticNet,B,gddp28,3.921793820236589,1
ElasticNet,B,gddp29,0.1398840017108231,1
ElasticNet,B,gddp30,-0.0,0
ElasticNet,B,gddp31,-1.9295432581687249,1
ElasticNet,B,gddp32,-2.4546750983373125,1
ElasticNet,B,gddp33,-1.9912267393839382,1
ElasticNet,B,gddp34,-2.0204579202192825,1
ElasticNet,B,gddp35,-0.14498830386740322,1
ElasticNet,B,gddp36,-1.2397523208191972,1
ElasticNet,B,gddp37,-0.7853454330559673,1
ElasticNet,B,gddp38,-2.4435020871544055,1
ElasticNet,B,gddp39,-0.021257501872986643,1
ElasticNet,B,gddp40,0.0,0
ElasticNet,B,gddp41,0.7205586508453619,1
ElasticNet,B,gddp42,2.060803075085416,1
ElasticNet,B,gddp43,0.0,0
ElasticNet,B,gddp44,0.0,0
ElasticNet,B,gddp45,0.0,0
ElasticNet,B,gddp46,-0.0,0
ElasticNet,B,gddp47,-0.0,0
ElasticNet,B,gddp48,-0.27986743429464545,1
ElasticNet,B,gddp49,-0.28758787129183166,1
ElasticNet,B,gddp50,-0.33538596768883455,1
ElasticNet,B,ppt,-1.6457893960640173,1
ElasticNet,B,ppt_sq,0.5641376051604238,1
ElasticNet,B,whc,3.3529186832076996,1
ElasticNet,B,sand,-6.348626423405258,1
ElasticNet,B,clay,-9.80159832479648,1
ElasticNet,B,om,0.09890357854663265,1
ElasticNet,B,kwfactor,0.0,0
ElasticNet,B,kffactor,0.12971247211986323,1
ElasticNet,B,spH,13.36067304361963,1
ElasticNet,B,tfactor,2.485320897782705,1
