D_pct,구속,mu_star,recovery_pct,gap_pct,corn_area_pct,soy_area_pct,wheat_area_pct,corn_prod_pct,n_switch,feasible
70.0,False,0.0,19.11696090669715,2.025614229252427e-14,38.52821117768279,53.83126757013456,7.640521252182648,86.15507603898217,333,True
80.0,False,0.0,19.11696090669715,2.025614229252427e-14,38.52821117768279,53.83126757013456,7.640521252182648,86.15507603898217,333,True
85.0,False,0.0,19.11696090669715,2.025614229252427e-14,38.52821117768279,53.83126757013456,7.640521252182648,86.15507603898217,333,True
90.0,True,0.041954746207920834,18.66095803748788,0.0005189936928943302,40.401299370632145,52.05875551817291,7.539945111194943,90.03673099845922,329,True
95.0,True,0.10853000514907762,18.342326624564095,0.0031377269893563594,42.88571649374262,49.815640313934274,7.2986431923231025,95.08573607776925,327,True
100.0,True,0.1727228397212457,17.35478987649801,0.014024989535719614,45.326438074314154,47.53452752838738,7.139034397298465,100.24023919412531,330,True
105.0,True,0.2249923037015833,15.983318291473642,0.0041285495340625195,47.850086881282735,45.15136722632808,6.998545892389191,105.05410825889471,338,True
110.00000000000001,True,0.2691565656277817,15.034376815056326,0.002436211971187319,50.38818013095152,42.739450572037605,6.872369297010873,110.0265758902005,355,True
114.99999999999999,True,0.32688117248471826,14.187442964633435,0.005619319364149002,52.95448023489098,40.42547309902207,6.620046666086952,115.0502196301617,385,True
120.0,True,0.37467158108484,13.366025631933024,0.012704351088918282,55.490268501135034,38.08782037674059,6.421911122124374,120.09845390144915,415,True
