region,counties,wmean_temp,wmean_temp_t,GDD_above_29,GDD_above_29_t,GDD_10_30,GDD_10_30_t
Midwest,1049,0.05972315331964746,12.122565068162762,-0.2036174976079241,-7.28077817902209,12.98144721445582,24.206634013946676
Northeast,134,0.21215170679549378,36.305573035549955,0.18890565506520077,6.09147764044339,31.738390931726066,47.07035481067449
South,1208,0.18137390795361402,55.9377377351295,0.7708278339465074,19.024764819489125,27.889969986645017,68.02036503888881
West,253,0.2220442178345205,9.818900911448349,1.7295664159860056,13.549107592604537,29.672836493414625,10.840834738486985
