T,b_below,se_below,b_above,se_above,subst,subst_se,subst_t,within_R2
28,0.1820376052125644,0.03222015295515299,-1.2890214874913597,0.044492592125880276,-1.471059092703924,0.025613894094185186,-57.43207523599002,0.13401106244083882
29,0.13687867510239646,0.03205836098145672,-1.5356156973972397,0.04553646471738999,-1.6724943724996362,0.02754815378469143,-60.71166821455183,0.15315818953032978
30,0.0945523405003645,0.032349888748678515,-1.7192626618783957,0.04731770679683046,-1.8138150023787603,0.03004363957045356,-60.37267882026377,0.16115897396923728
31,0.0665016238566228,0.03287544494449714,-1.8344858706840343,0.04968117055436935,-1.900987494540657,0.03323490401867616,-57.198525185221186,0.1578759882859484
