method,seed,fitness,gap_pct,agree_pct,n_switch,recovery_pct,seconds,n_eval
GA,0,305687468621.912,0.0,100.0,238,15.988197370238685,9.183465700014494,160200
GA,1,305687468621.912,0.0,100.0,238,15.988197370238685,8.951605700014625,160200
GA,2,305687468621.912,0.0,100.0,238,15.988197370238685,8.331557099998463,160200
GA,3,305687468621.912,0.0,100.0,238,15.988197370238685,8.461195199983194,160200
GA,4,305687468621.912,0.0,100.0,238,15.988197370238685,7.738773100019898,160200
GA,5,305687468621.912,0.0,100.0,238,15.988197370238685,8.145977499953005,160200
GA,6,305687468621.912,0.0,100.0,238,15.988197370238685,7.677594100008719,160200
GA,7,305687468621.912,0.0,100.0,238,15.988197370238685,7.759972599975299,160200
GA,8,305687468621.912,0.0,100.0,238,15.988197370238685,7.794697800010908,160200
GA,9,305687468621.912,0.0,100.0,238,15.988197370238685,7.667638599989004,160200
SA,0,305687468621.912,0.0,100.0,238,15.988197370238685,2.8615434000384994,160200
SA,1,305687468621.912,0.0,100.0,238,15.988197370238685,2.752455900015775,160200
SA,2,305687468621.912,0.0,100.0,238,15.988197370238685,2.894949399982579,160200
SA,3,305687468621.912,0.0,100.0,238,15.988197370238685,2.762188699969556,160200
SA,4,305687468621.912,0.0,100.0,238,15.988197370238685,2.7917695000069216,160200
SA,5,305687468621.912,0.0,100.0,238,15.988197370238685,2.8038282000343315,160200
SA,6,305687468621.912,0.0,100.0,238,15.988197370238685,3.048840300005395,160200
SA,7,305687468621.912,0.0,100.0,238,15.988197370238685,2.7970598000101745,160200
SA,8,305687468621.912,0.0,100.0,238,15.988197370238685,2.836762999999337,160200
SA,9,305687468621.912,0.0,100.0,238,15.988197370238685,2.717961899994407,160200
