방법,총순이익($),전환비용($),순 목적함수($),전환 카운티,전환 카운티(%),전환 면적(%),손실 회복률(%),옥수수 면적(%)
무조정 (현재 배분 유지),285127691333.78577,0.0,285127691333.78577,0,0.0,0.0,0.0,47.27869194157361
Greedy (전환비용 무시),311140709823.209,0.0,311140709823.209,772,36.04108309990663,38.23512392280835,26.420932574457254,26.046943421695914
"GA (λ=42, 무릎)",304456074403.3916,10794662244.75455,293661412158.637,304,14.19234360410831,16.124085756839058,19.631474373609304,34.43259115424729
GA + 옥수수 40% 하한,301740567742.0199,8749472246.147326,292991095495.87256,262,12.231559290382819,13.069166744194927,16.873385440763506,40.00294229276998
