lam,method,total_value,fitness,n_switch,pct_units,pct_area,recovery_pct,seconds,corn_pct,soy_pct,wheat_pct
400.0,exact,294596287421.25287,294596287421.25287,0,0.0,0.0,0.0,6.319995736703277e-05,46.44184854999834,46.539151250378396,7.019000199623261
275.0624087734529,exact,294596287421.25287,294596287421.25287,0,0.0,0.0,0.0,6.079999729990959e-05,46.44184854999834,46.539151250378396,7.019000199623261
189.14832180063522,exact,295183938147.1991,294623689329.7001,4,0.19455252918287938,0.19056178803149307,0.7331114469559153,6.249995203688741e-05,46.271436178575144,46.644805470516296,7.083758350908561
130.0689825248473,exact,297039543106.657,295041833114.4052,26,1.264591439688716,0.9881344983659432,3.0480328394485388,6.260001100599766e-05,45.70736426602603,47.2537552372798,7.038880496694173
89.4427190999916,exact,300058998526.80273,296056744351.14636,77,3.745136186770428,2.878836735528414,6.814891679821153,6.210000719875097e-05,44.413112373690424,48.235893767793705,7.350993858515875
61.50582440722752,exact,306164351437.86334,298230841480.5384,198,9.630350194552529,8.298631688958702,14.431497784743607,6.170000415295362e-05,40.52334826548952,51.98334170007939,7.493310034431088
42.29485053762257,exact,309920145753.23413,301316782675.4733,333,16.19649805447471,13.086940253558343,19.11696090669715,6.240000948309898e-05,38.52821117768279,53.83126757013456,7.640521252182648
29.084308668979077,exact,313131675089.2013,304544945370.1821,475,23.103112840466927,18.994436360493,23.123437567882615,6.220000796020031e-05,37.41030032865395,55.203686882332704,7.386012789013345
20.000000000000004,exact,315173482972.1086,307610828832.1086,579,28.16147859922179,24.327731096221473,25.670652546701724,6.210000719875097e-05,36.22346412521404,56.54845102566133,7.228084849124627
13.753120438672644,exact,316126437901.177,310134234243.0621,665,32.3443579766537,28.031264034201072,26.85949165824746,6.330001633614302e-05,35.60358120836126,56.873630999914894,7.522787791723841
9.457416090031758,exact,316613730151.2003,312099481112.0611,724,35.21400778210117,30.70933276960843,27.467402974837388,6.440002471208572e-05,35.35875139806409,57.01979243916026,7.621456162775643
6.503449126242364,exact,316936364462.43335,313574827424.39465,772,37.54863813229572,33.25458377546442,27.869898702830945,7.269997149705887e-05,35.657686008951984,56.13251613295388,8.209797858094136
4.47213595499958,exact,317046487868.0383,314645042087.30493,804,39.10505836575876,34.54738269251144,28.00728086822653,5.979998968541622e-05,35.66585893061379,56.09852253309643,8.235618536289783
3.075291220361376,exact,317109660410.3537,315405428648.89087,826,40.175097276264594,35.6533029569025,28.0860904601489,6.210000719875097e-05,35.471642894290746,56.31521136968861,8.213145736020639
2.114742526881128,exact,317131526633.74255,315942164142.6647,837,40.71011673151751,36.183793988177065,28.113369212578338,6.260001100599766e-05,35.25770617972831,56.47919157185805,8.263102248413636
1.4542154334489537,exact,317141856716.0112,316315376665.1249,845,41.099221789883266,36.56461363866162,28.126256291968847,6.729998858645558e-05,34.99049955920497,56.63278516242017,8.376715278374856
1.0,exact,317145519543.01996,316574185724.01996,852,41.43968871595331,36.75761249293167,28.130825775660025,7.020001066848636e-05,35.057298978642784,56.555396535768246,8.387304485588974
0.0,exact,317146476327.43365,317146476327.43365,863,41.974708171206224,36.971666042559825,28.132019392165507,0.0001045000390149653,35.09739026234285,56.509446642622144,8.393163095035007
