방법,적합도,LP상한대비_갭_pct,실현가능,옥수수면적_pct,회복률_pct,초
GA,305676494843.5835,0.0002111894718615711,True,40.00220414198831,15.923256526762913,30.557718099968042
SA,305674531682.48865,0.0008534230037082524,True,40.08927485153208,15.983412645537934,12.13802360004047
TS,305676494843.5835,0.0002111894718615711,True,40.00220414198831,15.923256526762913,0.2813937000464648
