lambda,method,total_value,fitness,n_switch,pct_counties,pct_area,recovery_pct,corn_area_pct
0.0,exact,311140709823.209,311140709823.209,772,36.04108309990663,38.23512392280835,26.420932574457254,26.046943421695914
0.0,GA,311138920593.4202,311138920593.4202,768,35.85434173669468,38.1642335870618,26.419115287485035,26.008290387238823
1.0,exact,311136401712.3638,310539493547.3638,761,35.527544351073765,37.71039272323631,26.41655690747301,26.137885063685275
1.0,GA,311129531901.7449,310535911911.7449,754,35.20074696545285,37.502658304671726,26.409579370312724,26.18489024517588
1.4542154334489537,exact,311131716784.4496,310269242220.01215,754,35.20074696545285,37.46891197654464,26.411798514494233,26.018886553081373
1.4542154334489537,GA,311130101216.94604,310268109862.1213,752,35.10737628384687,37.447919660725226,26.410157613031842,25.997894237261963
2.114742526881128,exact,311123604548.5638,309879803845.706,747,34.87394957983193,37.15752979124655,26.40355906940815,26.148456338102974
2.114742526881128,GA,311114393559.0063,309877771787.4077,740,34.547152194211016,36.9430650851886,26.394203640927536,26.29360663885333
3.075291220361376,exact,311110517215.6831,309318391887.4522,738,34.45378151260504,36.815920634684986,26.39026651207727,26.27601718297512
3.075291220361376,GA,311102456198.23303,309316931653.5505,731,34.12698412698413,36.68031967005686,26.38207908859097,26.365667313801385
4.47213595499958,exact,311034350666.7407,308520079501.20746,715,33.380018674136316,35.518175812243975,26.312905583938385,26.531044803349857
4.47213595499958,GA,311022930266.1813,308515833412.95044,709,33.09990662931839,35.416826964441846,26.301306098347077,26.624273234439183
6.503449126242364,exact,310890240936.80237,307403692726.6657,684,31.932773109243694,33.86924090901657,26.166536047485987,26.84179446848138
6.503449126242364,GA,310890240936.80237,307403692726.6657,684,31.932773109243694,33.86924090901657,26.166536047485987,26.84179446848138
9.457416090031758,exact,310701564825.0369,305853340991.7928,656,30.62558356676004,32.386476483065415,25.974901277019335,26.80083537618173
9.457416090031758,GA,310657556779.84906,305849592949.37964,646,30.158730158730158,32.1175368305415,25.930203135005744,26.95994243783455
13.753120438672644,exact,310311737851.2418,303724944079.371,607,28.33800186741363,30.257034166146013,25.57896136737244,27.77086127841955
13.753120438672644,GA,310302401029.2494,303724375105.46124,607,28.33800186741363,30.216758261329502,25.56947813325941,27.730585373603038
20.000000000000004,exact,309164650639.4251,300935638579.4251,520,24.276377217553687,25.993887728679994,24.41388650715373,29.33681448880917
20.000000000000004,GA,309163397200.99603,300934853640.99603,519,24.2296918767507,25.99240782607296,24.412613413366692,29.335334586202137
29.084308668979077,exact,307329049062.81415,297538047217.0544,422,19.70121381886088,21.267768433277865,22.549500584046616,30.956981664761024
29.084308668979077,GA,307319603775.37396,297537629786.278,421,19.65452847805789,21.248158349652236,22.53990718362271,30.976591748386653
42.29485053762257,exact,304456074403.3916,293661412158.637,304,14.19234360410831,16.124085756839058,19.631474373609304,34.43259115424729
42.29485053762257,GA,304456074403.3916,293661412158.637,304,14.19234360410831,16.124085756839058,19.631474373609304,34.43259115424729
61.50582440722752,exact,299543532903.5454,289763395569.4428,174,8.123249299719888,10.04574719793961,14.641898566040759,38.81799845837803
61.50582440722752,GA,299543532903.5454,289763395569.4428,174,8.123249299719888,10.04574719793961,14.641898566040759,38.81799845837803
89.4427190999916,exact,292718801834.0041,286575687340.9648,68,3.1746031746031744,4.3390749492256155,7.710147854354978,43.19139703989394
89.4427190999916,GA,292718801834.0041,286575687340.9648,68,3.1746031746031744,4.3390749492256155,7.710147854354978,43.19139703989394
130.0689825248473,exact,286033194509.3772,285177907314.92053,11,0.5135387488328664,0.4154241715520842,0.9197025081109141,46.8908786778035
130.0689825248473,GA,286033194509.3772,285177907314.92053,11,0.5135387488328664,0.4154241715520842,0.9197025081109141,46.8908786778035
189.14832180063522,exact,285127691333.78577,285127691333.78577,0,0.0,0.0,0.0,47.27869194157361
189.14832180063522,GA,285127691333.78577,285127691333.78577,0,0.0,0.0,0.0,47.27869194157361
275.0624087734529,exact,285127691333.78577,285127691333.78577,0,0.0,0.0,0.0,47.27869194157361
275.0624087734529,GA,285127691333.78577,285127691333.78577,0,0.0,0.0,0.0,47.27869194157361
400.0,exact,285127691333.78577,285127691333.78577,0,0.0,0.0,0.0,47.27869194157361
400.0,GA,285127691333.78577,285127691333.78577,0,0.0,0.0,0.0,47.27869194157361
