T,b_below,se_below,b_above,se_above,subst,subst_se,subst_t,within_R2,y_mean,subst_pct
28,0.23956474730079666,0.014964679291061567,0.06554507764603919,0.0178113125116611,-0.17401966965475746,0.00791412477521687,-21.98849204395932,0.03085539052766828,42.31370888319874,-0.411260733808788
29,0.23770155161270537,0.014967445653953639,0.06871119969372345,0.017793973119460963,-0.16899035191898193,0.008084854589038076,-20.902089216064446,0.029792596633085866,42.31370888319874,-0.39937494580174215
30,0.23634524622352043,0.014994963041456512,0.07617018780248064,0.017981853263581576,-0.1601750584210398,0.008469786630338335,-18.911345162734214,0.028333273520997015,42.31370888319874,-0.37854176022050284
31,0.23502992335561898,0.015031260454901245,0.08023742447961879,0.018325240279470287,-0.1547924988760002,0.00903566288021364,-17.13128310873195,0.02720325210220631,42.31370888319874,-0.36582115574714547
