배분,옥수수,대두,밀,옥수수생산_pct,회복률_pct,전환_카운티
현재 x̄,46.44184854999834,46.539151250378396,7.019000199623261,100.0,0.0,0
제약 없음 (10),38.52821117768279,53.83126757013456,7.640521252182648,86.15507603898217,19.11696090669715,333
제약 있음 (11),45.326438074314154,47.53452752838738,7.139034397298465,100.24023919412531,17.35478987649801,330
