방법,적합도,전환_카운티,전환_카운티_pct,전환_면적_pct,회복률_pct,대두_카운티,정확해_일치_pct
정확해,305687468621.912,238,11.11111111111111,11.196178503187689,15.988197370238685,1483,100.0
GA,305687468621.912,238,11.11111111111111,11.196178503187689,15.988197370238685,1483,100.0
SA,305687468621.912,238,11.11111111111111,11.196178503187689,15.988197370238685,1483,100.0
